Freq.	V(vout)
5.89707686916451e-02	2.59173756616383e-02,2.09025099356988e-01
5.93809428251631e-02	2.62741317122564e-02,2.10436538978750e-01
5.97939699453986e-02	2.66357282746665e-02,2.11856920763114e-01
6.02098698964438e-02	2.70022290781568e-02,2.13286289096664e-01
6.06286626604171e-02	2.73736986371124e-02,2.14724688320369e-01
6.10503683584235e-02	2.77502022591798e-02,2.16172162722499e-01
6.14750072515216e-02	2.81318060534731e-02,2.17628756531368e-01
6.19025997416968e-02	2.85185769388193e-02,2.19094513907915e-01
6.23331663728412e-02	2.89105826520434e-02,2.20569478938099e-01
6.27667278317413e-02	2.93078917562904e-02,2.22053695625120e-01
6.32033049490714e-02	2.97105736493834e-02,2.23547207881467e-01
6.36429187003947e-02	3.01186985722164e-02,2.25050059520770e-01
6.40855902071710e-02	3.05323376171800e-02,2.26562294249475e-01
6.45313407377713e-02	3.09515627366180e-02,2.28083955658322e-01
6.49801917085001e-02	3.13764467513150e-02,2.29615087213634e-01
6.54321646846237e-02	3.18070633590105e-02,2.31155732248411e-01
6.58872813814071e-02	3.22434871429406e-02,2.32705933953219e-01
6.63455636651566e-02	3.26857935804026e-02,2.34265735366878e-01
6.68070335542709e-02	3.31340590513430e-02,2.35835179366951e-01
6.72717132202985e-02	3.35883608469652e-02,2.37414308660011e-01
6.77396249890035e-02	3.40487771783558e-02,2.39003165771705e-01
6.82107913414379e-02	3.45153871851263e-02,2.40601793036598e-01
6.86852349150217e-02	3.49882709440691e-02,2.42210232587798e-01
6.91629785046306e-02	3.54675094778240e-02,2.43828526346359e-01
6.96440450636913e-02	3.59531847635545e-02,2.45456716010454e-01
7.01284577052842e-02	3.64453797416296e-02,2.47094843044323e-01
7.06162397032538e-02	3.69441783243093e-02,2.48742948666982e-01
7.11074144933271e-02	3.74496654044320e-02,2.50401073840703e-01
7.16020056742393e-02	3.79619268640984e-02,2.52069259259242e-01
7.21000370088679e-02	3.84810495833515e-02,2.53747545335835e-01
7.26015324253744e-02	3.90071214488489e-02,2.55435972190937e-01
7.31065160183536e-02	3.95402313625232e-02,2.57134579639716e-01
7.36150120499915e-02	4.00804692502288e-02,2.58843407179284e-01
7.41270449512312e-02	4.06279260703711e-02,2.60562493975684e-01
7.46426393229462e-02	4.11826938225140e-02,2.62291878850593e-01
7.51618199371225e-02	4.17448655559633e-02,2.64031600267783e-01
7.56846117380493e-02	4.23145353783216e-02,2.65781696319291e-01
7.62110398435166e-02	4.28917984640108e-02,2.67542204711334e-01
7.67411295460228e-02	4.34767510627591e-02,2.69313162749931e-01
7.72749063139893e-02	4.40694905080469e-02,2.71094607326253e-01
7.78123957929845e-02	4.46701152255096e-02,2.72886574901692e-01
7.83536238069558e-02	4.52787247412904e-02,2.74689101492629e-01
7.88986163594704e-02	4.58954196903414e-02,2.76502222654923e-01
7.94473996349646e-02	4.65203018246663e-02,2.78325973468097e-01
8.00000000000017e-02	4.71534740215009e-02,2.80160388519226e-01
8.05564440045393e-02	4.77950402914264e-02,2.82005501886525e-01
8.11167583832041e-02	4.84451057864110e-02,2.83861347122624e-01
8.16809700565772e-02	4.91037768077736e-02,2.85727957237540e-01
8.22491061324871e-02	4.97711608140654e-02,2.87605364681328e-01
8.28211939073120e-02	5.04473664288636e-02,2.89493601326417e-01
8.33972608672915e-02	5.11325034484714e-02,2.91392698449626e-01
8.39773346898472e-02	5.18266828495188e-02,2.93302686713857e-01
8.45614432449123e-02	5.25300167964580e-02,2.95223596149445e-01
8.51496145962707e-02	5.32426186489488e-02,2.97155456135199e-01
8.57418770029054e-02	5.39646029691251e-02,2.99098295379086e-01
8.63382589203561e-02	5.46960855287390e-02,3.01052141898588e-01
8.69387890020866e-02	5.54371833161734e-02,3.03017023000711e-01
8.75434961008612e-02	5.61880145433191e-02,3.04992965261650e-01
8.81524092701309e-02	5.69486986523073e-02,3.06979994506106e-01
8.87655577654296e-02	5.77193563220908e-02,3.08978135786243e-01
8.93829710457796e-02	5.85001094748684e-02,3.10987413360297e-01
9.00046787751068e-02	5.92910812823427e-02,3.13007850670822e-01
9.06307108236660e-02	6.00923961718052e-02,3.15039470322574e-01
9.12610972694760e-02	6.09041798320408e-02,3.17082294060025e-01
9.18958683997649e-02	6.17265592190433e-02,3.19136342744523e-01
9.25350547124252e-02	6.25596625615341e-02,3.21201636331056e-01
9.31786869174786e-02	6.34036193662753e-02,3.23278193844669e-01
9.38267959385525e-02	6.42585604231695e-02,3.25366033356481e-01
9.44794129143647e-02	6.51246178101367e-02,3.27465171959338e-01
9.51365692002199e-02	6.60019248977600e-02,3.29575625743075e-01
9.57982963695166e-02	6.68906163536906e-02,3.31697409769394e-01
9.64646262152631e-02	6.77908281468025e-02,3.33830538046362e-01
9.71355907516061e-02	6.87026975510887e-02,3.35975023502509e-01
9.78112222153678e-02	6.96263631492876e-02,3.38130877960543e-01
9.84915530675957e-02	7.05619648362297e-02,3.40298112110664e-01
9.91766159951213e-02	7.15096438218968e-02,3.42476735483495e-01
9.98664439121314e-02	7.24695426341791e-02,3.44666756422601e-01
1.00561069961749e-01	7.34418051213244e-02,3.46868182056619e-01
1.01260527517625e-01	7.44265764540651e-02,3.49081018270985e-01
1.01964850185543e-01	7.54240031274124e-02,3.51305269679262e-01
1.02674071805035e-01	7.64342329621096e-02,3.53540939594063e-01
1.03388226451002e-01	7.74574151057278e-02,3.55788029997573e-01
1.04107348435357e-01	7.84937000333980e-02,3.58046541511664e-01
1.04831472308672e-01	7.95432395481624e-02,3.60316473367611e-01
1.05560632861834e-01	8.06061867809374e-02,3.62597823375399e-01
1.06294865127724e-01	8.16826961900728e-02,3.64890587892627e-01
1.07034204382892e-01	8.27729235604964e-02,3.67194761793006e-01
1.07778686149258e-01	8.38770260024297e-02,3.69510338434456e-01
